date,journey_id,journey_name,node_name,entrants,completions,dropoffs,conversion_rate
2025-09-01,J142,Owner Portal Update,Email Dispatch,1571,974,597,0.6199872692552514
2025-09-01,J142,Owner Portal Update,Landing Page,974,535,439,0.5492813141683778
2025-09-01,J142,Owner Portal Update,Confirm Action,535,224,311,0.41869158878504675
2025-09-01,J156,Policy Confirmation,Email Dispatch,1699,1053,646,0.6197763390229547
2025-09-01,J156,Policy Confirmation,Landing Page,1053,579,474,0.5498575498575499
2025-09-01,J156,Policy Confirmation,Confirm Action,579,243,336,0.41968911917098445
2025-09-01,J171,Quarterly Roundup,Email Dispatch,782,484,298,0.618925831202046
2025-09-01,J171,Quarterly Roundup,Landing Page,484,266,218,0.5495867768595041
2025-09-01,J171,Quarterly Roundup,Confirm Action,266,111,155,0.41729323308270677
2025-09-02,J142,Owner Portal Update,Email Dispatch,1416,877,539,0.6193502824858758
2025-09-02,J142,Owner Portal Update,Landing Page,877,482,395,0.5496009122006842
2025-09-02,J142,Owner Portal Update,Confirm Action,482,202,280,0.4190871369294606
2025-09-02,J156,Policy Confirmation,Email Dispatch,1523,944,579,0.6198292843072882
2025-09-02,J156,Policy Confirmation,Landing Page,944,519,425,0.5497881355932204
2025-09-02,J156,Policy Confirmation,Confirm Action,519,217,302,0.41811175337186895
2025-09-02,J171,Quarterly Roundup,Email Dispatch,1061,657,404,0.6192271442035815
2025-09-02,J171,Quarterly Roundup,Landing Page,657,361,296,0.5494672754946728
2025-09-02,J171,Quarterly Roundup,Confirm Action,361,151,210,0.4182825484764543
2025-09-03,J142,Owner Portal Update,Email Dispatch,1377,853,524,0.6194625998547567
2025-09-03,J142,Owner Portal Update,Landing Page,853,469,384,0.5498241500586166
2025-09-03,J142,Owner Portal Update,Confirm Action,469,196,273,0.417910447761194
2025-09-03,J156,Policy Confirmation,Email Dispatch,1524,944,580,0.6194225721784777
2025-09-03,J156,Policy Confirmation,Landing Page,944,519,425,0.5497881355932204
2025-09-03,J156,Policy Confirmation,Confirm Action,519,217,302,0.41811175337186895
2025-09-03,J171,Quarterly Roundup,Email Dispatch,1082,670,412,0.6192236598890942
2025-09-03,J171,Quarterly Roundup,Landing Page,670,368,302,0.5492537313432836
2025-09-03,J171,Quarterly Roundup,Confirm Action,368,154,214,0.41847826086956524
2025-09-04,J142,Owner Portal Update,Email Dispatch,1334,827,507,0.6199400299850075
2025-09-04,J142,Owner Portal Update,Landing Page,827,454,373,0.5489721886336155
2025-09-04,J142,Owner Portal Update,Confirm Action,454,190,264,0.4185022026431718
2025-09-04,J156,Policy Confirmation,Email Dispatch,1371,850,521,0.6199854121079504
2025-09-04,J156,Policy Confirmation,Landing Page,850,467,383,0.5494117647058824
2025-09-04,J156,Policy Confirmation,Confirm Action,467,196,271,0.4197002141327623
2025-09-04,J171,Quarterly Roundup,Email Dispatch,857,531,326,0.6196032672112018
2025-09-04,J171,Quarterly Roundup,Landing Page,531,292,239,0.5499058380414312
2025-09-04,J171,Quarterly Roundup,Confirm Action,292,122,170,0.4178082191780822
2025-09-05,J142,Owner Portal Update,Email Dispatch,1447,897,550,0.6199032480995162
2025-09-05,J142,Owner Portal Update,Landing Page,897,493,404,0.5496098104793757
2025-09-05,J142,Owner Portal Update,Confirm Action,493,207,286,0.4198782961460446
2025-09-05,J156,Policy Confirmation,Email Dispatch,1581,980,601,0.6198608475648324
2025-09-05,J156,Policy Confirmation,Landing Page,980,539,441,0.55
2025-09-05,J156,Policy Confirmation,Confirm Action,539,226,313,0.41929499072356213
2025-09-05,J171,Quarterly Roundup,Email Dispatch,924,572,352,0.6190476190476191
2025-09-05,J171,Quarterly Roundup,Landing Page,572,314,258,0.548951048951049
2025-09-05,J171,Quarterly Roundup,Confirm Action,314,131,183,0.4171974522292994
2025-09-06,J142,Owner Portal Update,Email Dispatch,1322,819,503,0.6195158850226928
2025-09-06,J142,Owner Portal Update,Landing Page,819,450,369,0.5494505494505495
2025-09-06,J142,Owner Portal Update,Confirm Action,450,189,261,0.42
2025-09-06,J156,Policy Confirmation,Email Dispatch,1551,961,590,0.6196002578981302
2025-09-06,J156,Policy Confirmation,Landing Page,961,528,433,0.5494276795005203
2025-09-06,J156,Policy Confirmation,Confirm Action,528,221,307,0.4185606060606061
2025-09-06,J171,Quarterly Roundup,Email Dispatch,842,522,320,0.6199524940617577
2025-09-06,J171,Quarterly Roundup,Landing Page,522,287,235,0.5498084291187739
2025-09-06,J171,Quarterly Roundup,Confirm Action,287,120,167,0.4181184668989547
